panel	model_regime	prediction_context_bp	output_modality	ontology_or_biosample	track_selection	scorer_or_measure	aggregation_window_or_endpoint	output_summary	parameter_source	fasta_source
1B	ALL_FOLDS	524288	RNA;CHIP_TF;DNASE;ATAC	HepG2 CEBPA; liver UBERON:0002107	Displayed tracks selected by assay and ontology metadata	Raw sequence prediction (no variant scorer)	Displayed 70-kb locus interval	Displayed RNA/CEBPA/DNase/ATAC tracks	panel_tracks/panel_a_sort1_locus_rnaseq_cebp.py	not_applicable — G>T scored via AlphaGenome Variant object; no local sequence fetch in script
1C	ALL_FOLDS	1048576	RNA_SEQ	liver UBERON:0002107	Gene-strand-compatible indices: CELSR2 233/234/627; PSRC1 and SORT1 504/505/627	GeneMaskLFCScorer	Exon-masked gene score; mean of 3 compatible tracks per gene	GeneMaskLFCScorer; three compatible liver RNA tracks per gene	results/figure1/temp/remake_figure1_gene_mask_lfc.py	local_fasta
1E	FOLD_0	1048576	CONTACT_MAPS	HepG2 EFO:0001187	All HepG2 contact-map tracks; averaged	Raw FOLD_0 contact-map output	2,048-bp bins; 3x3 anchor/promoter mean	Contact map; rs12740374-centered input	report/panel_contact/run_observed_hic_validation.py	not_applicable — contact map from Interval; no local sequence fetch in script
1F	FOLD_0;EXPERIMENTAL	1048576	CONTACT_MAPS	HepG2 EFO:0001187; experimental 4DNFICSTCJQZ	Predicted HepG2 tracks averaged; observed KR-balanced O/E map	Same-distance percentile	2/2.048-kb maps; 3x3 anchor/promoter mean	Same-distance contact percentiles	report/panel_contact/run_observed_hic_validation.py	not_applicable — same script as 1E
2B	ALL_FOLDS	524288	RNA_SEQ	liver UBERON:0002107	Primary target index 4: pooled child/adult liver poly(A)+ unstranded RNA-seq	Raw sequence prediction (no variant scorer)	Mean signal within +/-2 kb of each TSS	Postnatal liver RNA track 4; +/-2 kb around each TSS	report/panel_wang_et_al_indels/run_wang_et_al_indels.py	local_fasta
2C	ALL_FOLDS	524288	RNA_SEQ	liver UBERON:0002107	Primary target index 4: pooled child/adult liver poly(A)+ unstranded RNA-seq	Raw sequence prediction (no variant scorer)	Mean signal within +/-2 kb of each TSS	Postnatal liver RNA track 4; +/-2 kb around each TSS	report/panel_wang_et_al_indels/synthetic_cutsite_scan/run_synthetic_cutsite_scan.py	local_fasta
2E	ALL_FOLDS	regulatory:16384;RNA:131072	RNA_SEQ;ATAC;CHIP_HISTONE	HepG2 EFO:0001187	Gene-strand-compatible RNA; matched HepG2 ATAC; H3K27ac-selected histone tracks	Recommended RNA/ATAC/histone variant scorers	RNA gene score; mean signed ATAC/H3K27ac score	HepG2 ATAC/H3K27ac and three-gene RNA	report/panel_kircher/kircher_t_background/run_kircher_t_background_ag.py	not_applicable — substitutions scored via Variant object; no local sequence fetch
2F	ALL_FOLDS	16384	DNASE;ATAC	Experimental cell-line matched	DNase for all 6 elements; matched ATAC for F9/LDLR/PKLR/SORT1	Center-mask DIFF_LOG2_SUM	16,384-bp native-locus substitution interval	Matched DNase/ATAC accessibility benchmark	report/panel_kircher_multielement/run_multielement_benchmark.py	not_applicable — substitution/accessibility scoring; no local sequence fetch
3A	ALL_FOLDS	524288	RNA_SEQ	liver UBERON:0002107	All liver tracks; averaged	Raw sequence prediction (no variant scorer)	Mean signal within +/-2 kb of 3 TSSs	Three-gene liver RNA TSS deltas	results/figure2/panel_a/run_metadata.json	not_applicable — exhaustive SNV scan via Variant objects; no local sequence fetch
3B	ALL_FOLDS	524288	RNA_SEQ	liver UBERON:0002107	All liver tracks; averaged	Raw sequence prediction (no variant scorer)	Mean signal within +/-2 kb of each TSS; equal 3-gene mean	Three-gene mean liver RNA loss at the native locus	report/figure3_restructured/panel_B_base_substitution_501bp/run_native_locus_501bp_ism.py	local_fasta
3C	ALL_FOLDS	derived_from_3B	derived PWM	JASPAR 2024 CORE vertebrates	Frozen H1-H6 and C/EBP windows	PWM compatibility ranking	Derived from 3B maximum-loss substitutions	JASPAR PWM compatibility derived from frozen 3B substitutions	report/figure3_restructured/panel_C_motif_family_disruption/make_panel_C.py	local_fasta
