release_path	size_bytes	release_sha256	migration_operation	legacy_source_paths
outputs/source_data/Figure1B_locus_tracks/run_metadata.json	498	7293bbc7382d12e6ab07bf12f53b13ff7757f33a22340a75903fdde3ebb7b868	generated in release from authorized AlphaGenome API call	analysis/export_fig1b_source.py
outputs/source_data/Figure1B_locus_tracks/selected_track_metadata.tsv	1214	666d5a380f5ce3e36fd6251a9f9189ac9131c55b1e696b7b7207687dec03e249	generated in release from authorized AlphaGenome API call	analysis/export_fig1b_source.py
outputs/source_data/Figure1B_locus_tracks/tracks.npz	6248112	1bf317ece544c29ba9693236e6687ad42c6e4d78a382aa5ae38b56bdbf33e674	generated in release from authorized AlphaGenome API call	analysis/export_fig1b_source.py
outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	83208	245a1066781bafa8942cdd1d61d355c99c96e374f047fd431ce560af03b70f09	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_eQTL/gene_mask_lfc_v13/figure1c_gene_mask_lfc_and_ld_tagging_v13.tsv
outputs/source_data/Figure1D_observed_hic.tsv	232294	98262c43c282b7f87f75a525a61ecab7e582dfb105a8b5331f410b1988ef7fb2	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/figure1_exports/figure1_contact_observed_heatmap_source.tsv
outputs/source_data/Figure1E_fold0_contact.tsv	146621	27dc53278ebc636aafb07f4f98b806ab861866b936bbb1f8f3902a9bdcf90775	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/figure1_exports/figure1_contact_alphagenome_fold0_heatmap_source.tsv
outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	1273	fac485f93671de436ae3693ea33b2c3397ef83b65873c91d29475293297246d9	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/figure1_exports/figure1_contact_percentiles_source.tsv
outputs/source_data/Figure2B_top50_repair_outcomes/columns.csv	11330	fa6cc376dd84e9d2e2d037c8945a032d25be5ee9c8680d165b3dbfaa23886683	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/results/fused_human_mouse_postnatal_strand_matched_repair_outcome_percent_change_heatmap_top50_columns.csv;investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/results/fused_human_mouse_target3_repair_outcome_percent_change_heatmap_top50_columns.csv;investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/results/fused_human_mouse_target4_repair_outcome_percent_change_heatmap_top50_columns.csv
outputs/source_data/Figure2B_top50_repair_outcomes/matrix.csv	3199	0d7b1d93d419307eee16130f054015dee29a220e2aebebbdd7a36a8561efb37a	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/results/fused_human_mouse_target4_repair_outcome_percent_change_heatmap_top50_matrix.csv
outputs/source_data/Figure2C_deletion_grid.csv	1774508	ed572ee84e6176b4f868a66930e104c73783b63d5b53a1e68dc36b87f7ac6f67	byte-identical copy or rename	investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/synthetic_cutsite_scan/results/synthetic_deletion_xy_full_grid_rna_predictions.csv
