panel	legacy_path	size_bytes	sha256	regeneration_script	notes
3A	investigation/SORT1_cholesterol_musunuru_2010/results/figure2/panel_a/figure2A_full_region_snv_position_summary.tsv	171444854	0659540b62d84018f1f9e5ced1c478612a0d0b0d13b2abf84dfeaa5772b28a19	report/figure3_restructured/panel_A_regional_coordinated_ism/make_panel_A.py (via report/panel_ISM_global_liver/make_compact_global_liver_ism_panel.py::load_inputs)	Full multi-tissue per-position ISM summary; plotting script filters to tissue=='liver' in memory. Deposited on Zenodo (10.5281/zenodo.21820090); not committed to git.
3A	investigation/SORT1_cholesterol_musunuru_2010/results/figure2/panel_a/figure2A_full_region_snv_synergy_liver_best_alt_by_position.tsv	18530601	1fb0bb5fc15e6c141e572c184b33712ead8b991cea7aded38b120475ac5c56d8	report/figure3_restructured/panel_A_regional_coordinated_ism/make_panel_A.py	Per-position best-alt synergy overlay for Fig3A. Deposited on Zenodo (10.5281/zenodo.21820090); not committed to git.
4H	investigation/SORT1_cholesterol_musunuru_2010/report/panel_synergy_tcell/liver_cd14_monocyte_tcell_full_region_synergy_same_axis_130mm.tsv	17328577	ffb6d838330b7cf00a81217f26ee88940ef8669622fce7a182a3c8deecc2878e	investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/make_revised_figure4_panels.py	Full-resolution per-bp x 3-track table over the plotted +/-50kb window; no filtering performed before plotting. Deposited on Zenodo (10.5281/zenodo.21820090); not committed to git.
4J	investigation/SORT1_cholesterol_musunuru_2010/results/figure3/panelF/tf_insertion_dense_100kb_8tf_3tracks/dense_100kb_8tf_3tracks_variant_summary.tsv	528804922	16d6e6b0d2f056b93ef58d67fcdf24971efb1887cec6049a0a32da1c885eb941	investigation/SORT1_cholesterol_musunuru_2010/report/panel_TF_insertion/make_main_figure4d_discovery_heatmap.py	Dense TF-motif-replacement screen across 100kb x 8 TFs x 3 cell types. Deposited on Zenodo (10.5281/zenodo.21820090); not committed to git.
3F	investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/wide_main_panel_1bp_all_folds/ (zipped as Figure3F_wide_main_panel_1bp_all_folds.zip)	3269727	d213656b93fc88371bb94f02197cb646c8eb92190b1875c1a8872f2460750a12	investigation/SORT1_cholesterol_musunuru_2010/report/figure3_restructured/panel_F_optimal_window_heatmap/make_uniform_wide_main_panel.py	Per-sequence scores/retention-by-seed for Figure 3F's 1bp boundary-window scan, all folds. Deposited on Zenodo (10.5281/zenodo.21820090); not committed to git.
S8D	investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/complete_existing_coordinate_grid_all_folds/ (zipped as FigureS8D_complete_existing_coordinate_grid_all_folds.zip)	10942135	ad780b645fa6f6579c28b227e9ff1a114c891b6223662e1a40a0bc24375a89b6	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s9_scramble_boundary_robustness/make_figure_s9_panels.py	Per-sequence scores/retention-by-seed for Fig S8D's 2D scramble-boundary coordinate-grid sweep, all folds. Deposited on Zenodo (10.5281/zenodo.21820090); not committed to git.
S8D	investigation/SORT1_cholesterol_musunuru_2010/report/panel_asymmetric_scramble/results/fine_2d_minimal_core_all_folds/ (zipped as FigureS8D_fine_2d_minimal_core_all_folds.zip)	4617774	32ad19646656a7c9aa58a2f93f8e6834fb6739577b1faabee38a1d671d1f2b20	investigation/SORT1_cholesterol_musunuru_2010/report/supplementary_figures/panel_s9_scramble_boundary_robustness/make_figure_s9_panels.py	Per-sequence scores/retention-by-seed for Fig S8D's minimal-core robustness sweep, all folds. Deposited on Zenodo (10.5281/zenodo.21820090); not committed to git.
4E/4F	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/results/chr1_distal_315_transfer_v3_all_folds/track_level.tsv	31213258	637b0de5aed7ba52b3160706b148924792647c42c3e08ec7be929c6688c64703	reproduction/figure4ef.py (reproduce.py run --panels 4E,4F)	Full per-track RNA-seq/ATAC/H3K27ac predictions for all 13,517 scored states. Deposited on Zenodo (10.5281/zenodo.21820090); not committed to git.
4E/4F	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/results/chr1_distal_315_transfer_v3_all_folds/predictions_raw.tsv	9010143	e148da652126c39cbc0ee9b481292d99c88d1ecfc98862bbffa6b20dc9055a43	reproduction/figure4ef.py (reproduce.py run --panels 4E,4F)	Full per-state RNA(TSS) predictions underlying the 315bp T/G transfer benchmark. Deposited on Zenodo (10.5281/zenodo.21820090); not committed to git.
4E/4F	investigation/SORT1_cholesterol_musunuru_2010/report/panel_distal_hic_transfer/results/chr1_distal_315_transfer_v3_all_folds/activity_raw.tsv	6303964	5be96f7cc2a82e340f80649feb02d8ed49d35afec42e8c1ff7482c8dc8c4e5f0	reproduction/figure4ef.py (reproduce.py run --panels 4E,4F)	Full per-site ATAC/H3K27ac activity predictions underlying the 315bp T/G transfer benchmark. Deposited on Zenodo (10.5281/zenodo.21820090); not committed to git.
