panel	status	analysis_id	release_asset	release_source_table	model_regime	external_sources	legacy_asset	legacy_analysis_or_render_script	notes
1A	author-layout	fig1_musunuru_schematic	figures/assembled/Figure1.svg		NA	Musunuru_2010	investigation/SORT1_cholesterol_musunuru_2010/report/manuscript_and_figures/Figure1.svg		Editable author-layout panel preserved in the checksummed final Figure 1 composite SVG
1B	final	fig1_locus_tracks	figures/rendered/Figure1B.pdf	outputs/source_data/Figure1B_locus_tracks/	ALL_FOLDS	GENCODE_v46	investigation/SORT1_cholesterol_musunuru_2010/report/panel_tracks/panel_a_sort1_locus_rnaseq_cebp.pdf	investigation/SORT1_cholesterol_musunuru_2010/report/panel_tracks/panel_a_sort1_locus_rnaseq_cebp.py	Locus tracks. Numerical arrays regenerated once with the ALL_FOLDS model and 524,288-bp input; selected-track metadata and run hashes are retained. Source-backed rendering is implemented in figures/fig1.py::render_fig1b. The release code contains no hardcoded credential.
1C	final	fig1_eqtl_prioritization	figures/rendered/Figure1C.pdf	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	ALL_FOLDS	GTEx_v7;1000G_Phase3_EUR	investigation/SORT1_cholesterol_musunuru_2010/report/panel_eQTL/gene_mask_lfc_v13/figure1c_gene_mask_lfc_ld_tagging_v13.pdf	investigation/SORT1_cholesterol_musunuru_2010/results/figure1/temp/remake_figure1_gene_mask_lfc.py	Direct RNA and rs12740374-tagging profiles. Source-backed renderer ported to figures/fig1.py::render_fig1c; the legacy generator remains recorded for provenance.
1D	final	fig1_observed_hic	figures/rendered/Figure1D.svg	outputs/source_data/Figure1D_observed_hic.tsv	EXPERIMENTAL	4DNFICSTCJQZ	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/figure1_square_panels/Figure1D_observed_HepG2_HiC_EXPERIMENTAL.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/run_observed_hic_validation.py	Observed HepG2 Hi-C. Source-backed renderer ported to figures/fig1.py::render_fig1d.
1E	final	fig1_fold0_contact	figures/rendered/Figure1E.svg	outputs/source_data/Figure1E_fold0_contact.tsv	FOLD_0	GENCODE_v46	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/figure1_square_panels/Figure1E_AlphaGenome_FOLD0_contact_PREDICTED.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/run_observed_hic_validation.py	Held-out predicted contact map. Source-backed renderer ported to figures/fig1.py::render_fig1e.
1F	final	fig1_contact_percentiles	figures/rendered/Figure1F.svg	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	FOLD_0;EXPERIMENTAL	4DNFICSTCJQZ	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/figure1_square_panels/Figure1F_promoter_contact_percentiles_QUANTIFICATION.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_contact/run_observed_hic_validation.py	Same-distance promoter percentiles. Source-backed renderer ported to figures/fig1.py::render_fig1f.
2A	author-layout	fig2_wang_schematic	figures/assembled/Figure2.svg		NA	Wang_2018	investigation/SORT1_cholesterol_musunuru_2010/report/manuscript_and_figures/figure2.svg		Editable author-layout panel preserved in the checksummed final Figure 2 composite SVG
2B	final	fig2_repair_top50	figures/rendered/Figure2B.svg	outputs/source_data/Figure2B_top50_repair_outcomes/	ALL_FOLDS	Wang_2018	investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/results/figures/fused_human_mouse_target4_repair_outcome_percent_change_heatmap_top50.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/plot_repair_outcome_delta_heatmaps.py	Postnatal liver RNA track 4; human and humanized-mouse products. Source-backed renderer ported to figures/fig2.py::render_fig2b.
2C	final	fig2_deletion_grid	figures/rendered/Figure2C.svg	outputs/source_data/Figure2C_deletion_grid.csv	ALL_FOLDS	Wang_2018	investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/synthetic_cutsite_scan/results/figures/Figure2C_deletion_grid_track4.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_wang_et_al_indels/synthetic_cutsite_scan/plot_existing_deletion_grid_tracks.py	Postnatal liver RNA track 4. Source-backed renderer ported to figures/fig2.py::render_fig2c.
2D	author-layout	fig2_kircher_schematic	figures/assembled/Figure2.svg		NA	Kircher_2019	investigation/SORT1_cholesterol_musunuru_2010/report/manuscript_and_figures/figure2.svg		Editable author-layout panel preserved in the checksummed final Figure 2 composite SVG
2E	final	fig2_kircher_sort1	figures/rendered/Figure2E.svg	outputs/source_data/Figure2E_kircher_correlations.tsv	ALL_FOLDS	Kircher_2019	investigation/SORT1_cholesterol_musunuru_2010/report/panel_kircher/kircher_t_background/figures/kircher_ag_t_background_signed_rna_atac_h3k27ac_with_rs127_300x210.svg	investigation/SORT1_cholesterol_musunuru_2010/report/panel_kircher/kircher_t_background/make_kircher_t_background_figures.py	Final-tool benchmark retained in main text. Source-backed renderer ported to figures/fig2.py::render_fig2e.
