result_id	analysis_id	metric	value	unit	model	population_or_n	source_table	status	notes
fig1c_rs127_direct_sort1	fig1_eqtl_prioritization	rs12740374 direct RNA effect, SORT1	0.04881983437	GeneMaskLFCScorer value	ALL_FOLDS	rs12740374	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	
fig1c_rs127_percent_sort1	fig1_eqtl_prioritization	rs12740374 implied RNA percentage change, SORT1	5.003115417276939	percent	ALL_FOLDS	rs12740374	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	Calculated as 100 * expm1(GeneMaskLFCScorer value).
fig1c_direct_pearson_sort1	fig1_eqtl_prioritization	Observed eQTL versus direct score Pearson r, SORT1	0.2543626875072287	Pearson r	ALL_FOLDS	n=108 variants	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	
fig1c_tagging_pearson_sort1	fig1_eqtl_prioritization	Observed eQTL versus rs12740374-tagging model Pearson r, SORT1	0.8706565385891487	Pearson r	ALL_FOLDS	n=108 variants	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	Tagging model explicitly assumes rs12740374 is the driver.
fig1c_rs127_absolute_rank_sort1	fig1_eqtl_prioritization	rs12740374 absolute direct-effect rank, SORT1	1	rank	ALL_FOLDS	n=111 variants	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	
fig1c_rs127_direct_celsr2	fig1_eqtl_prioritization	rs12740374 direct RNA effect, CELSR2	0.4187856515	GeneMaskLFCScorer value	ALL_FOLDS	rs12740374	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	
fig1c_rs127_percent_celsr2	fig1_eqtl_prioritization	rs12740374 implied RNA percentage change, CELSR2	52.01144856068404	percent	ALL_FOLDS	rs12740374	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	Calculated as 100 * expm1(GeneMaskLFCScorer value).
fig1c_direct_pearson_celsr2	fig1_eqtl_prioritization	Observed eQTL versus direct score Pearson r, CELSR2	0.17703466652296698	Pearson r	ALL_FOLDS	n=108 variants	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	
fig1c_tagging_pearson_celsr2	fig1_eqtl_prioritization	Observed eQTL versus rs12740374-tagging model Pearson r, CELSR2	0.9058497268991466	Pearson r	ALL_FOLDS	n=108 variants	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	Tagging model explicitly assumes rs12740374 is the driver.
fig1c_rs127_absolute_rank_celsr2	fig1_eqtl_prioritization	rs12740374 absolute direct-effect rank, CELSR2	1	rank	ALL_FOLDS	n=111 variants	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	
fig1c_rs127_direct_psrc1	fig1_eqtl_prioritization	rs12740374 direct RNA effect, PSRC1	0.604738156	GeneMaskLFCScorer value	ALL_FOLDS	rs12740374	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	
fig1c_rs127_percent_psrc1	fig1_eqtl_prioritization	rs12740374 implied RNA percentage change, PSRC1	83.07727692543246	percent	ALL_FOLDS	rs12740374	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	Calculated as 100 * expm1(GeneMaskLFCScorer value).
fig1c_direct_pearson_psrc1	fig1_eqtl_prioritization	Observed eQTL versus direct score Pearson r, PSRC1	0.20591748866962414	Pearson r	ALL_FOLDS	n=108 variants	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	
fig1c_tagging_pearson_psrc1	fig1_eqtl_prioritization	Observed eQTL versus rs12740374-tagging model Pearson r, PSRC1	0.9140690125958388	Pearson r	ALL_FOLDS	n=108 variants	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	Tagging model explicitly assumes rs12740374 is the driver.
fig1c_rs127_absolute_rank_psrc1	fig1_eqtl_prioritization	rs12740374 absolute direct-effect rank, PSRC1	1	rank	ALL_FOLDS	n=111 variants	outputs/source_data/Figure1C_eqtl_direct_tagging.tsv	verified_from_release_table	
fig1f_observed_contact_celsr2	fig1_contact_percentiles	Observed 4DN 2kb 3x3 contact value, CELSR2	1.428539554278056	observed/expected or model contact value	EXPERIMENTAL	CELSR2	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig1f_observed_percentile_celsr2	fig1_contact_percentiles	Observed 4DN 2kb 3x3 same-distance percentile, CELSR2	45.10763209393346	percentile	EXPERIMENTAL	CELSR2	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig1f_observed_contact_psrc1	fig1_contact_percentiles	Observed 4DN 2kb 3x3 contact value, PSRC1	1.2411074837048848	observed/expected or model contact value	EXPERIMENTAL	PSRC1	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig1f_observed_percentile_psrc1	fig1_contact_percentiles	Observed 4DN 2kb 3x3 same-distance percentile, PSRC1	21.057692307692307	percentile	EXPERIMENTAL	PSRC1	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig1f_observed_contact_sort1	fig1_contact_percentiles	Observed 4DN 2kb 3x3 contact value, SORT1	7.770007451375325	observed/expected or model contact value	EXPERIMENTAL	SORT1	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig1f_observed_percentile_sort1	fig1_contact_percentiles	Observed 4DN 2kb 3x3 same-distance percentile, SORT1	99.67602591792657	percentile	EXPERIMENTAL	SORT1	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig1f_fold0_contact_celsr2	fig1_contact_percentiles	AlphaGenome FOLD_0 3x3 contact value, CELSR2	0.2693142361111111	observed/expected or model contact value	FOLD_0	CELSR2	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig1f_fold0_percentile_celsr2	fig1_contact_percentiles	AlphaGenome FOLD_0 3x3 same-distance percentile, CELSR2	85.8433734939759	percentile	FOLD_0	CELSR2	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig1f_fold0_contact_psrc1	fig1_contact_percentiles	AlphaGenome FOLD_0 3x3 contact value, PSRC1	-0.0284288194444444	observed/expected or model contact value	FOLD_0	PSRC1	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig1f_fold0_percentile_psrc1	fig1_contact_percentiles	AlphaGenome FOLD_0 3x3 same-distance percentile, PSRC1	32.57425742574257	percentile	FOLD_0	PSRC1	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig1f_fold0_contact_sort1	fig1_contact_percentiles	AlphaGenome FOLD_0 3x3 contact value, SORT1	1.6822916666666667	observed/expected or model contact value	FOLD_0	SORT1	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig1f_fold0_percentile_sort1	fig1_contact_percentiles	AlphaGenome FOLD_0 3x3 same-distance percentile, SORT1	99.66592427616926	percentile	FOLD_0	SORT1	outputs/source_data/Figure1F_promoter_contact_percentiles.tsv	verified_from_release_table	
fig2b_negative_count_sort1	fig2_repair_top50	Repair products with negative predicted RNA effect, SORT1	26	of 50 products	ALL_FOLDS	50 ranked human/mouse products	outputs/source_data/Figure2B_top50_repair_outcomes/matrix.csv	verified_from_release_table	
fig2b_median_sort1	fig2_repair_top50	Median predicted RNA change, SORT1	-1.223901566529425	percent	ALL_FOLDS	50 ranked human/mouse products	outputs/source_data/Figure2B_top50_repair_outcomes/matrix.csv	verified_from_release_table	
fig2b_negative_count_psrc1	fig2_repair_top50	Repair products with negative predicted RNA effect, PSRC1	38	of 50 products	ALL_FOLDS	50 ranked human/mouse products	outputs/source_data/Figure2B_top50_repair_outcomes/matrix.csv	verified_from_release_table	
fig2b_median_psrc1	fig2_repair_top50	Median predicted RNA change, PSRC1	-36.53189195252976	percent	ALL_FOLDS	50 ranked human/mouse products	outputs/source_data/Figure2B_top50_repair_outcomes/matrix.csv	verified_from_release_table	
fig2b_negative_count_celsr2	fig2_repair_top50	Repair products with negative predicted RNA effect, CELSR2	38	of 50 products	ALL_FOLDS	50 ranked human/mouse products	outputs/source_data/Figure2B_top50_repair_outcomes/matrix.csv	verified_from_release_table	
fig2b_median_celsr2	fig2_repair_top50	Median predicted RNA change, CELSR2	-19.81551058942393	percent	ALL_FOLDS	50 ranked human/mouse products	outputs/source_data/Figure2B_top50_repair_outcomes/matrix.csv	verified_from_release_table	
fig2e_pearson_three_gene_mean_rna	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Pearson r, three_gene_mean_RNA	0.8435641852531043	Pearson r	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
fig2e_spearman_three_gene_mean_rna	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Spearman rho, three_gene_mean_RNA	0.6724075597304742	Spearman rho	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
fig2e_pearson_sort1_rna	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Pearson r, SORT1_RNA	0.7864751243646054	Pearson r	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
fig2e_spearman_sort1_rna	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Spearman rho, SORT1_RNA	0.5492951245088925	Spearman rho	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
fig2e_pearson_psrc1_rna	fig2_kircher_sort1	Kircher MPRA versus AlphaGenome Pearson r, PSRC1_RNA	0.8248110766713694	Pearson r	ALL_FOLDS	n=1798 substitutions	outputs/source_data/Figure2E_kircher_correlations.tsv	verified_from_release_table	
