Resource	Provider / Citation	Accession / Release / URL	Genome build / identifier system	Access date	License / terms	Used in
AlphaGenome API, SDK, and model outputs	Avsec et al., Nature 649, 1206-1218 (2026); Google DeepMind	doi:10.1038/s41586-025-10014-0; SDK commit 327ea82371197812b337aed8e9e75df63ce5e429; research-code commit bb6a5276a51199d9589fc8929be6a9d946b7250b	GRCh38	2026-08-01 (release audit)	Provider API and repository terms; output redistribution subject to provider terms	All AlphaGenome-derived panels
GRCh38/hg38 reference genome sequence	Genome Reference Consortium; UCSC Genome Browser	https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.fa.gz; GCA_000001405.15	GRCh38/hg38	2026-08-01 (release audit)	UCSC and Genome Reference Consortium data-use terms	Reference-sequence extraction and construct generation throughout
GTEx v7 single-tissue cis-eQTL summary statistics	GTEx Consortium	https://gtexportal.org/home/downloads/adult-gtex/overview (GTEx_Analysis_v7_eQTL.tar.gz)	GRCh37; relevant coordinates converted or aligned to GRCh38	2026-08-01 (release audit)	GTEx data-use terms	Fig. 1C; Fig. S2
1000 Genomes high-coverage phased genotypes and Phase 3 population labels	Byrska-Bishop et al., Cell 185, 3426-3440.e19 (2022); 1000 Genomes Project Consortium, Nature 526, 68-74 (2015)	https://www.internationalgenome.org/data-portal/data-collection/30x-grch38; phased 3,202-sample release dated 2022-04-22; integrated_call_samples_v3.20130502.ALL.panel	GRCh38 genotypes; Phase 3 metadata used to select 503 unrelated European samples	2026-08-01 (release audit)	1000 Genomes public-data terms	Fig. 1C; Fig. S2; Fig. S3
HepG2 in situ Hi-C	4D Nucleome Data Portal; Dekker laboratory, University of Massachusetts Medical School	4DNFICSTCJQZ; https://data.4dnucleome.org/files-processed/4DNFICSTCJQZ/	GRCh38	2026-08-01 (release audit)	4DN Data Portal terms	Fig. 1D-F; Fig. S1; Fig. 4D-F; Fig. S10A
Primary human hepatocyte CRISPR repair outcomes	Wang et al., Arterioscler. Thromb. Vasc. Biol. 38, 76-82 (2018)	PMID 29097363; PMCID PMC5746470; supplementary workbook atv310103_ds.xls	hg18 source coordinates converted to GRCh38	2026-06-20	Publisher supplementary-data terms	Fig. 2A-C; Fig. S4
Saturation-mutagenesis MPRA	Kircher et al., Nature Communications 10, 3583 (2019)	GEO GSE126550; https://github.com/kircherlab/MPRA_SaturationMutagenesis	Element sequences mapped to GRCh38 for AlphaGenome analyses	2026-08-01 (release audit)	Article CC BY 4.0; GEO and repository terms	Fig. 2D-F; Fig. S5-S6
Liver chromatin-accessibility QTL summary statistics and coordinated peak sets	Currin et al., Genome Research 35, 1485-1502 (2025)	doi:10.1101/gr.279741.124; Zenodo 15025748; GEO GSE264684	GRCh38	2026-08-01 (release audit)	Zenodo record and GEO terms	Fig. S3
Human Protein Atlas consensus tissue RNA expression	Human Protein Atlas version 24.1	https://v24.proteinatlas.org/download/rna_tissue_consensus.tsv.zip	Gene-level table using Ensembl release 109 identifiers; not coordinate-based	2025-11-06	Human Protein Atlas data-use terms; attribution required	Fig. 4A-C; Fig. S9
Gene and transcription-start-site annotations	GENCODE release 46	https://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_46/	GRCh38	2026-08-01 (release audit)	GENCODE data-use policy; attribution requested	Gene and TSS definitions throughout
Transcription-factor motif matrices	Rauluseviciute et al., JASPAR 2024, Nucleic Acids Research 52, D174-D182	https://jaspar.elixir.no/downloads/ (CORE vertebrates, non-redundant)	Not applicable	2026-06-22	CC0	Fig. 3C; Fig. S8C; Fig. 4I-J
LDL-C GWAS summary statistics	Willer et al., Global Lipids Genetics Consortium, Nature Genetics 45, 1274-1283 (2013)	doi:10.1038/ng.2797; https://csg.sph.umich.edu/willer/public/lipids2013/ (jointGwasMc_LDL.txt.gz)	hg19/b37 source; locus coordinates lifted to GRCh38	2026-08-01 (release audit; original download date not recorded)	Public summary statistics; source-site terms apply	Fig. 1C; Fig. S2
